epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0911,1.71877,3.66689,1.9729,0.01172,1,0.16334,0.04628,1.96835,4.24512,2.03626,3.334e-05,3.334e-05,3.334e-05
2,22.2955,1.07595,3.24522,1.50108,0.00993,1,0.90287,0.58494,0.63961,3.13509,0.7659,8.16997e-05,8.16997e-05,8.16997e-05
3,31.2669,0.98318,3.01993,1.24976,0.00806,1,0.995,0.93447,0.33051,3.03465,0.56046,0.000128079,0.000128079,0.000128079
4,40.0262,0.74598,2.42954,1.16618,0.00701,1,0.995,0.92101,0.32935,2.94293,0.5532,0.000172478,0.000172478,0.000172478
5,48.7782,0.60557,1.69612,0.95466,0.00631,1,0.995,0.91514,0.40567,2.54042,0.55804,0.000214896,0.000214896,0.000214896
6,57.815,0.56374,1.2944,0.92713,0.93624,1,0.995,0.97914,0.33363,2.33689,0.52224,0.000255334,0.000255334,0.000255334
7,66.9687,0.5802,1.31603,0.97707,0.9185,1,0.995,0.95108,0.33364,2.4279,0.5322,0.000293792,0.000293792,0.000293792
8,76.7594,0.59826,1.08255,0.91806,0.84011,1,0.995,0.91533,0.4146,2.52067,0.57734,0.000330269,0.000330269,0.000330269
9,86.1092,0.5719,0.99038,0.92095,0.90265,1,0.995,0.86799,0.56911,2.52848,0.61181,0.000364766,0.000364766,0.000364766
10,95.1852,0.58778,1.01734,0.88651,0.92206,1,0.995,0.90704,0.50411,2.55688,0.60325,0.000397283,0.000397283,0.000397283
11,104.583,0.53404,1.20557,0.91767,0.98666,1,0.995,0.91021,0.51427,1.9922,0.58661,0.000427819,0.000427819,0.000427819
12,113.746,0.53142,0.92995,0.86277,0.99287,1,0.995,0.92422,0.45877,1.6015,0.58894,0.000456375,0.000456375,0.000456375
13,122.946,0.60407,0.92427,0.91578,0.99441,1,0.995,0.91234,0.50834,1.25776,0.59236,0.00048295,0.00048295,0.00048295
